"filename", "language", "C++", "CMake", "comment", "blank", "total"
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Layers/LayerStack.cpp", "C++", 35, 0, 0, 7, 42
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Layers/LayerStack.hpp", "C++", 19, 0, 0, 3, 22
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Layers/MainMenuLayer.cpp", "C++", 46, 0, 1, 13, 60
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Layers/MainMenuLayer.hpp", "C++", 25, 0, 0, 4, 29
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Layers/PieceLayer.cpp", "C++", 53, 0, 2, 18, 73
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Layers/PieceLayer.hpp", "C++", 28, 0, 2, 9, 39
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Players/AZero.h", "C++", 23, 0, 0, 6, 29
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Players/GameController.h", "C++", 79, 0, 20, 28, 127
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Players/LocalPlayer.h", "C++", 11, 0, 4, 6, 21
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Players/Player.h", "C++", 9, 0, 1, 5, 15
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Players/RemotePlayer.h", "C++", 6, 0, 0, 0, 6
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Scenes/GomokuScene.cpp", "C++", 28, 0, 0, 10, 38
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Scenes/GomokuScene.hpp", "C++", 19, 0, 0, 4, 23
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Scenes/MainMenu.cpp", "C++", 26, 0, 7, 7, 40
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Scenes/MainMenu.hpp", "C++", 13, 0, 0, 6, 19
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Scenes/Scene.hpp", "C++", 30, 0, 0, 5, 35
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Scenes/SceneManager.hpp", "C++", 26, 0, 1, 4, 31
"/home/lennart/cpp_projects/game_engine/src/Game_Client/TextureManager", "C++", 769, 0, 0, 4, 773
"/home/lennart/cpp_projects/game_engine/src/Game_Client/TextureManager.cpp", "C++", 62, 0, 17, 20, 99
"/home/lennart/cpp_projects/game_engine/src/Game_Client/TextureManager.hpp", "C++", 16, 0, 0, 5, 21
"/home/lennart/cpp_projects/game_engine/src/Game_Client/Textures.hpp", "C++", 11, 0, 1, 2, 14
"/home/lennart/cpp_projects/game_engine/src/Game_Client/VectorMatrix.hpp", "C++", 174, 0, 17, 48, 239
"/home/lennart/cpp_projects/game_engine/src/Game_Server/CMakeLists.txt", "CMake", 0, 6, 0, 2, 8
"/home/lennart/cpp_projects/game_engine/src/Game_Server/NetworkingServer.hpp", "C++", 249, 0, 98, 72, 419
"/home/lennart/cpp_projects/game_engine/src/Game_Server/main.cpp", "C++", 12, 0, 0, 5, 17
"/home/lennart/cpp_projects/game_engine/src/Networking/CMakeLists.txt", "CMake", 0, 13, 0, 2, 15
"/home/lennart/cpp_projects/game_engine/src/Networking/MessageTypes.h", "C++", 8, 0, 1, 1, 10
"/home/lennart/cpp_projects/game_engine/src/Networking/Networking.h", "C++", 165, 0, 46, 36, 247
"/home/lennart/cpp_projects/game_engine/src/Networking/NetworkingClient.h", "C++", 126, 0, 39, 44, 209
"/home/lennart/cpp_projects/game_engine/src/Networking/NetworkingEvents.h", "C++", 27, 0, 18, 10, 55
"/home/lennart/cpp_projects/game_engine/src/Networking/Package.h", "C++", 46, 0, 21, 21, 88
"/home/lennart/cpp_projects/game_engine/src/Networking/SenderID.h", "C++", 5, 0, 1, 2, 8
"/home/lennart/cpp_projects/game_engine/src/Networking/Serializer.h", "C++", 64, 0, 8, 22, 94
"/home/lennart/cpp_projects/game_engine/src/main.cpp", "C++", 31, 0, 6, 14, 51
"Total", "-", 3383, 59, 408, 802, 4652
